Account Statement for 784921056 (Margin) since 11/1/25 through 11/7/25

Cash Balance
,DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
,11/4/25,,BAL,,Cash balance at start of business day 11/4/25,,,,24810.55

Account Trade History
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,Net Price,ORDER TYPE,Commission,Fees
,11/4/25 09:31:12,STOCK,BUY,+200,TO OPEN,AAPL,,,STOCK,241.15,241.15,LMT,0.00,0.02
,11/4/25 10:02:41,STOCK,SELL,-200,TO CLOSE,AAPL,,,STOCK,243.65,243.65,LMT,0.00,0.06
,11/4/25 09:45:03,VERTICAL,BUY,+3,TO OPEN,AAPL,1/16/26,185,CALL,4.325,4.325,LMT,1.95,0.09
,11/4/25 11:18:55,VERTICAL,SELL,-3,TO CLOSE,AAPL,1/16/26,185,CALL,5.10,5.10,LMT,1.95,0.11
,11/5/25 09:33:20,FUTURE,BUY,+2,TO OPEN,/MESZ5,,,FUTURE,6120.25,6120.25,LMT,2.58,0.00
,11/5/25 09:48:07,FUTURE,SELL,-2,TO CLOSE,/MESZ5,,,FUTURE,6124.75,6124.75,LMT,2.58,0.00
,11/5/25 13:07:44,STOCK,SELL,-100,TO OPEN,TSLA,,,STOCK,412.80,412.80,LMT,0.00,0.05
,11/5/25 14:22:16,STOCK,BUY,+100,TO CLOSE,TSLA,,,STOCK,409.95,409.95,LMT,0.00,0.00
,11/6/25 09:31:02,STOCK,BUY,+150,TO OPEN,NVDA,,,STOCK,notaprice,,LMT,0.00,0.00
,11/6/25 09:35:11,STOCK,SHRUG,+150,TO OPEN,NVDA,,,STOCK,182.40,,LMT,0.00,0.00

Profits and Losses
,Symbol,Description,P/L Open,P/L %,P/L Day
,AAPL,APPLE INC,0.00,0.00,492.00
